
Model,Accuracy,Precision,Recall,F1
SVM,0.7158469945355191,0.7469587176108916,0.7119565217391305,0.7080572233587444
RandomForest,0.7486338797814208,0.7620618575424069,0.7445652173913043,0.7373996791112151
MLP,0.6666666666666666,0.685989010989011,0.654891304347826,0.640887558164885
Ensemble,0.7759562841530054,0.7928699383504877,0.7663043478260869,0.7655915848707611
KNN,0.5519125683060109,0.5693218242693504,0.5500776397515529,0.5388332640721925
NaiveBayes,0.5956284153005464,0.6256777071136339,0.6005434782608695,0.5767288263173952
